Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),EDS/CTRL(#),Voc_Before(V),Voc_After(V),Isc_Before(A),Isc_After(A),Pout_Before(W),Pout_After(W),PR_Before,PR_After,SR_Before,SR_After
5/10/2020,13:2:3,Error,Error,33.633,CTRL2,18.78,N/A,0.21,N/A,3.94,N/A,9.76,N/A,9.18,N/A
5/11/2020,10:0:0,Error,Error,13.699,EDS4,18.04,18.04,0.07,0.08,1.26,1.44,7.66,8.76,7.51,8.59
5/11/2020,10:1:49,Error,Error,13.81,CTRL1,17.49,N/A,0.07,N/A,1.22,N/A,7.36,N/A,7.45,N/A
5/11/2020,10:2:3,Error,Error,13.771,CTRL2,17.18,N/A,0.09,N/A,1.55,N/A,9.38,N/A,9.61,N/A
5/11/2020,11:41:1,Error,Error,34.121,EDS1,18.47,18.53,0.1,0.1,1.85,1.85,4.52,4.52,4.31,4.31
5/11/2020,11:42:50,Error,Error,35.023,CTRL1,18.59,N/A,0.12,N/A,2.23,N/A,5.31,N/A,5.04,N/A
5/11/2020,11:43:4,Error,Error,35.072,CTRL2,18.66,N/A,0.16,N/A,2.99,N/A,7.1,N/A,6.71,N/A
5/11/2020,12:0:0,Error,Error,41.773,EDS3,18.59,18.53,0.07,0.13,1.3,2.41,2.59,4.81,2.46,4.58
5/11/2020,12:1:49,Error,Error,38.447,CTRL1,18.72,N/A,0.13,N/A,2.43,N/A,5.27,N/A,4.97,N/A
5/11/2020,12:2:3,Error,Error,38.735,CTRL2,18.84,N/A,0.14,N/A,2.64,N/A,5.68,N/A,5.32,N/A
5/11/2020,13:0:2,Error,Error,9.662,EDS2,15.89,15.58,0.05,0.05,0.79,0.78,6.81,6.73,7.61,7.61
5/11/2020,13:1:50,Error,Error,8.273,CTRL1,16.19,N/A,0.06,N/A,0.97,N/A,9.77,N/A,10.67,N/A
5/11/2020,13:2:4,Error,Error,8.113,CTRL2,16.32,N/A,0.07,N/A,1.14,N/A,11.71,N/A,12.69,N/A
5/12/2020,10:0:2,Error,Error,16.935,EDS4,18.29,17.92,0.09,0.08,1.65,1.43,8.12,7.04,7.82,6.95
5/12/2020,10:1:50,Error,Error,14.256,CTRL1,17.36,N/A,0.07,N/A,1.22,N/A,7.13,N/A,7.22,N/A
5/12/2020,10:2:4,Error,Error,12.729,CTRL2,16.81,N/A,0.08,N/A,1.34,N/A,8.77,N/A,9.24,N/A
5/12/2020,11:0:1,Error,Error,29.383,EDS5,17.92,17.98,0.09,0.13,1.61,2.34,4.57,6.64,4.5,6.51
5/12/2020,11:1:49,Error,Error,31.234,CTRL1,18.41,N/A,0.13,N/A,2.39,N/A,6.38,N/A,6.12,N/A
5/12/2020,11:2:3,Error,Error,31.436,CTRL2,18.41,N/A,0.13,N/A,2.39,N/A,6.34,N/A,6.08,N/A
5/12/2020,11:41:1,Error,Error,25.003,EDS1,18.29,18.41,0.08,0.1,1.46,1.84,4.87,6.13,4.71,5.88
5/12/2020,11:42:49,Error,Error,32.883,CTRL1,18.66,N/A,0.12,N/A,2.24,N/A,5.68,N/A,5.37,N/A
5/12/2020,11:43:3,Error,Error,33.283,CTRL2,18.66,N/A,0.18,N/A,3.36,N/A,8.41,N/A,7.95,N/A
5/12/2020,13:0:2,Error,Error,29.705,EDS2,17.92,17.98,0.09,0.12,1.61,2.16,4.52,6.06,4.46,5.94
5/12/2020,13:1:50,Error,Error,31.856,CTRL1,18.53,N/A,0.13,N/A,2.41,N/A,6.3,N/A,6.0,N/A
5/12/2020,13:2:4,Error,Error,32.606,CTRL2,18.53,N/A,0.2,N/A,3.71,N/A,9.48,N/A,9.02,N/A
5/13/2020,10:0:2,Error,Error,11.177,EDS4,17.55,17.55,0.06,0.05,1.05,0.88,7.83,6.56,7.89,6.58
5/13/2020,10:1:50,Error,Error,11.303,CTRL1,17.12,N/A,0.07,N/A,1.2,N/A,8.85,N/A,9.11,N/A
5/13/2020,10:2:4,Error,Error,11.315,CTRL2,16.62,N/A,0.08,N/A,1.33,N/A,9.8,N/A,10.4,N/A
5/13/2020,11:41:1,Error,Error,15.619,EDS1,17.67,17.73,0.06,0.08,1.06,1.42,5.66,7.58,5.65,7.53
5/13/2020,11:42:49,Error,Error,15.792,CTRL1,17.67,N/A,0.08,N/A,1.41,N/A,7.44,N/A,7.45,N/A
5/13/2020,11:43:3,Error,Error,15.767,CTRL2,17.49,N/A,0.1,N/A,1.75,N/A,9.25,N/A,9.33,N/A
5/13/2020,13:0:1,Error,Error,19.936,EDS2,17.55,17.49,0.07,0.07,1.23,1.22,5.14,5.1,5.16,5.16
5/13/2020,13:1:49,Error,Error,19.969,CTRL1,17.98,N/A,0.09,N/A,1.62,N/A,6.76,N/A,6.63,N/A
5/13/2020,13:2:3,Error,Error,19.921,CTRL2,18.41,N/A,0.07,N/A,1.29,N/A,5.4,N/A,5.17,N/A
5/14/2020,10:0:2,Error,Error,12.01,EDS4,17.55,17.61,0.06,0.08,1.05,1.41,7.29,9.78,7.35,9.8
5/14/2020,10:1:50,Error,Error,12.212,CTRL1,17.18,N/A,0.05,N/A,0.86,N/A,5.87,N/A,6.02,N/A
5/14/2020,10:2:4,Error,Error,12.151,CTRL2,16.69,N/A,0.09,N/A,1.5,N/A,10.29,N/A,10.89,N/A
5/14/2020,11:0:2,Error,Error,14.854,EDS5,17.06,17.06,0.07,0.09,1.19,1.54,6.68,8.64,6.93,8.91
5/14/2020,11:1:50,Error,Error,14.991,CTRL1,17.55,N/A,0.09,N/A,1.58,N/A,8.78,N/A,8.83,N/A
5/14/2020,11:2:4,Error,Error,14.943,CTRL2,17.24,N/A,0.11,N/A,1.9,N/A,10.6,N/A,10.83,N/A
5/14/2020,11:41:2,Error,Error,16.799,EDS1,17.67,17.67,0.07,0.08,1.24,1.41,6.15,6.99,6.13,7.0
5/14/2020,11:42:50,Error,Error,16.529,CTRL1,17.55,N/A,0.09,N/A,1.58,N/A,7.97,N/A,8.01,N/A
5/14/2020,11:43:4,Error,Error,16.702,CTRL2,17.49,N/A,0.1,N/A,1.75,N/A,8.73,N/A,8.8,N/A
5/14/2020,12:0:1,Error,Error,17.073,EDS3,17.49,17.43,0.07,0.08,1.22,1.39,5.95,6.78,6.03,6.89
5/14/2020,12:1:49,Error,Error,17.214,CTRL1,17.67,N/A,0.09,N/A,1.59,N/A,7.7,N/A,7.69,N/A
5/14/2020,12:2:3,Error,Error,17.125,CTRL2,17.67,N/A,0.11,N/A,1.94,N/A,9.44,N/A,9.45,N/A
5/14/2020,13:0:2,Error,Error,19.509,EDS2,17.43,17.49,0.08,0.1,1.39,1.75,5.94,7.48,6.03,7.54
5/14/2020,13:1:50,Error,Error,19.441,CTRL1,17.86,N/A,0.09,N/A,1.61,N/A,6.9,N/A,6.81,N/A
5/14/2020,13:2:4,Error,Error,19.509,CTRL2,18.35,N/A,0.13,N/A,2.39,N/A,10.21,N/A,9.8,N/A
